skill	round	round_type	criticals	warnings	decision	fixed_files
propose	1	full	9	3	next_round	5
propose	2	micro	2	0	next_round	5
propose	3	full	8	2	next_round	5
propose	4	micro	1	1	next_round	5
propose	5	full	7	2	next_round	5
propose	6	micro	3	0	aborted	3
propose	7	full	1	0	next_round	3
propose	8	micro	0	0	passed	0
apply	1	full	3	5	next_round	27
apply	2	micro	0	0	passed	6
apply	3	full	2	4	next_round	4
apply	4	micro	2	0	next_round	3
apply	5	micro	0	0	passed	0
apply	6	full	2	1	next_round	2
apply	7	micro	1	0	next_round	2
apply	8	micro	0	0	passed	0
