skill	round	round_type	criticals	warnings	decision	fixed_files
propose	1	full	2	4	next_round	4
propose	2	micro	1	1	next_round	4
propose	3	micro	0	2	next_round	4
propose	4	full	1	1	next_round	4
propose	5	micro	0	1	next_round	4
propose	6	micro	0	1	aborted	2
propose	7	full	0	2	next_round	4
propose	8	micro	0	0	passed	2
propose	9	micro	0	0	passed	1
propose	10	full	0	3	next_round	1
propose	11	micro	0	0	passed	0
apply	1	full	0	0	passed	5
apply	2	full	0	1	aborted	5
apply	3	full	0	0	passed	5
apply	4	full	0	3	next_round	3
apply	5	micro	0	0	passed	0
